Sully Prudhomme; Les Vaines Tendresses ;Sully Prudhomme ;Trieste Publishing ;2017-09 ;0649030508;
Sully Prudhomme ;Sully Prudhomme ; ;1930 ; ;
Vents ;Saint-John Perse ; ;1947 ; ;
The Library of Congress. Division of Bibliography. A Selection of Works for an Understanding of World Affairs Since 1914, by Alexis St. Léger Léger,... ;Saint-John Perse ; ;1943 ; ;
Winds ;Saint-John Perse ; ;1953 ; ;
Birds. Reproductions of four original color etchings ;Saint-John Perse ; ; ; ;
Letters ;Saint-John Perse ; ;1979 ; ;
Anabase ;Saint-John Perse ; ;1924 ; ;
Chanté Par Celle Qui Fut Là ... ;Saint-John Perse ; ;1970 ; ;
Addresses in commemoration of the eightieth anniversary of the birth of Aristide Briand... [On the 28th of March, 1942. Opening address by Marshall S. Brown. Aristide briand, by Alexis Léger. Briand and Europe by count R. N. Coudenkove-Kalergi. Briand and France, by Louis Marlio. Briand and America, by Leland Rex Robinson.]. ;Marshall S. Brown, Louis Marlio, Saint-John Perse, Richard Nikolaus Coudenhove-Kalergi, Leland Rex Robinson ; ; ; ;
Pluies. [Signé ;Saint-John Perse ; ;1943 ; ;
Diplomates écrivains ;Saint-John Perse, Paul Morand ;L'AGE D'HOMME ;1999 ;2825114553;
Pájaros y otros poemas ;Saint-John Perse ; ;1994-02-01 ;8475220649;
Exil ;Saint-John Perse ; ;1942 ; ;
Oeuvre poétique: Vents. Amers. Chronique ;Saint-John Perse ; ;1960 ; ;
Hvalnice ;Saint-John Perse ; ;2018 ;9617016648;
Ānābāz, Manfá, wa-qaṣāʼid ukhrá ;Saint-John Perse, ʻAlī Luwātī ; ;1985 ; ;
Manavat ;Saint-John Perse ; ;1998 ;2843051436;
Anabazis ;Saint-John Perse ; ;1924 ; ;
Anábasis y otros poemas ;Saint-John Perse ; ;1960 ; ;
Vents (Chant I) ;Saint-John Perse ; ;1951 ; ;
Poemas ;Saint-John Perse ; ;1971 ; ;
Oeuvre poétique ;Saint-John Perse ; ;1967 ; ;
Éloges ;Saint-John Perse ; ;1960 ; ;
Oeuvre poétique ;Saint-John Perse ; ;1960 ; ;
Pájaros ;Saint-John Perse ; ;1985 ; ;
Amers ;Saint-John Perse ; ; ; ;
Letters ;Ivo Andrić ; ;1984 ; ;
Bosnian Chronicle ;Ivo Andrić ;Arcade Publishing ;1993 ;1559702362;
The Days of the Consuls ;Ivo Andrić ; ;1992 ; ;
Ivo Andrić. Translated by Marija Stansfild-Popović. [An Abridgment. With a Portrait.]. ;Petar Džadžić, Ivo Andrić, Marija STANSFILD-POPOVIĆ ; ;1960 ; ;
Ivo Andrić. [With a Portrait.]. ;Jan Wierzbicki, Ivo Andrić ; ;1965 ; ;
Conversation with Goya ;Ivo Andrić ;Menard Press ;1992 ; ;
The Bridge Over the Drina ;Ivo Andrić ;Harvill Press ;1994 ; ;
The Damned Yard and Other Stories ;Ivo Andrić ; ;2009 ; ;
The Woman from Sarajevo ;Ivo Andrić, Joseph Hitrec ;Calder Publications Limited ;1965 ;0714506141;
Bosnian Chronicle, Or, The Days of the Consuls ;Ivo Andrić ; ;1996 ; ;
The Pasha's Concubine and Other Tales ;Ivo Andrić ; ;1969 ; ;
Mersad Berber ;Mersad Berber, Meša Selimović, Ivo Andrić, Muhamed Karamehmedović ;Control Data Publishing Company ;1980 ; ;
The Bridge on the Drina ;Ivo Andrić, John Simon ;Signet Book ;1967-01-01 ;0451017986;
Vuku Andrić ;Vuk Stefanović Karadžić, Ivo Andrić ; ;1987 ; ;
Deca ;Ivo Andrić ; ;1965 ; ;
Bosnian Story ;Ivo Andrić ; ;1958 ; ;
Devil's Yard ;Ivo Andrić ; ;1964 ; ;
Z̆eđ ;Ivo Andrić ; ;1978 ; ;
Deca ;Ivo Andrić, Velika Širilova, Dimče Isailovski ; ;1998 ;9989304157;
Ivo Andrić ;Ivo Andrić ; ;1971 ; ;
Gospođica /Ivo Andrić ;Ivo Andrić ; ;1992 ; ;
Gospodična ;Ivo Andrić, Balbina Battelino-Baranovičeva ; ;1978 ; ;
Crónica de Travnik ;Ivo Andrić ; ;2012 ; ;
Wesire und Konsuln ;Ivo Andrić ; ;1996 ; ;
The Vizier's Elephant ;Ivo Andrić ;New York : Harcourt, Brace & World ;1962 ; ;
Ivo Andrić ;Ivo Andrić, Petar Džadžić ; ;1959 ; ;
Ivo Andrić ;Ivo Andrić, Božidar Timotijević ; ;1978 ; ;
Ivo Andrić ;Ivo Andrić ; ;1971 ; ;
Ivo Andrić o Vuku ;Ivo Andrić, Golub Dobrašinović ; ;1977 ; ;
Novel ;Ivo Andrić ; ;1951 ; ;
Mostovi ;Peter Zobec, Ivo Andrić ; ;1965 ; ;
Romani ;Ivo Andrić ; ;2014 ;8652115095;
Panna ;Ivo Andrić ; ;1962 ; ;
Ivo Andrić ;Ivo Andrić ; ;1971 ; ;
Most na Žepi ;Ivo Andrić ; ;1972 ; ;
Nove Pripovetke ;Ivo Andrić ; ;1949 ; ;
Panorama : pripovetke ;Ivo Andrić ; ;1958 ; ;
Иво Андрић. Есеј.. ;Petar Džadžić, Ivo Andrić ; ;1957 ; ;
Rzavski bregovi ;Ivo Andrić ; ;1981 ; ;
Mostot na Drina ;Ivo Andrić ; ;1984 ; ;
Aska i vuk ;Ivo Andrić ; ;1960 ; ;
The Bridge on the Drina ;Ivo Andrić ; ;1959 ; ;
Госпођица.. ;Ivo Andrić ; ;1958 ; ;
Putopisi ;Zuko Džumhur, Fahrudin Rizvanbegović, Ivo Andrić ; ;2000 ;9958211467;
Innocence et châtiment ;Ivo Andrić ;Editions Complexe ;2002 ;2870278942;
Romani ;Ivo Andrić ; ;2014 ;8652115095;
Drinos tiltas : romanas : romanas ;Ivo Andrić, Miroslav Krleža, Stasys Sabonis, Algimantos Bučys ; ;1983 ;5415001670;
Letter from 1920 ;Ivo Andrić ; ;2013 ;8676944210;
Nemirna godina ;Ivo Andrić ; ;1965 ; ;
Ex Ponto ;Ivo Andrić ; ;2013 ;8689613048;
Panele ;Ivo Andrić, Stasys Sabonis ; ;1994 ;9986200091;
Pashs's Concubine and Other Tales. Translated from the Serbo-croatian by Joseph Hitrec(1st Amer. Ed.). ;Ivo Andrić ; ;1968 ; ;
The Pasha's Concubine, and Other Tales, Tr. from the Serbo-Croatian by Joseph Hitrec ;Ivo Andrić ; ;1968 ; ;
Travnik i djelo Ive Andrića, zavičajno i univerzalno ;Ivo Andrić, Univerzitet u Sarajevu ; ;1980 ; ;
Chapters II and III from The Bridge on the Drina ;Ivo Andrić ; ;1959 ; ;
Chiʹ^ec cà̂u tr^en s^ong Drina ;Ivo Andrić, Nguyễ̂n Hiế̂n Lê ; ;1994 ; ;
Kad su veliki bili mali ;Milutin Tasić, Ivo Andrić, Stanoje Danković ; ;2003 ;9993805572;
Госпођица. The Woman from Sarajevo. Translated ... by Joseph Hitrec ;Ivo Andrić ; ;1966 ; ;
Bosnian Chronicle. Translated From the Serbo-Croatian by Joseph Hitrec ;Ivo Andrić ; ;1963 ; ;
Prokleta avlija ;Ivo Andrić ; ;1981 ; ;
“The” Damned Yard and Other Stories ;Ivo Andrić ; ;2017 ;8664571171;
Gospođica ;Ivo Andrić ; ;2013 ;9530607636;
The damned yard and other stories ;Ivo Andrić, Svetozar Koljević, Joseph Schallert, Ronelle Alexander, Felicity Rosslyn, Lenore Grenoble ; ;2007 ;8673465974;
The days of the consuls ;Ivo Andrić ; ;1993 ;1856100227;
The Days of the Consuls ;Ivo Andrić, Celia Hawkesworth ; ;2008 ;8673466598;
Sabrana dela ;Ivo Andrić, Josip Vidmar ; ;1967 ; ;
“The” Bridge on the Drina ;Ivo Andrić ; ;2011 ;8673468191;
O pričanju i o onima koji pričaju ;Tatjana Korićanac, Ivo Andrić ; ;2011 ;8680619663;
Sabrana dela ;Ivo Andrić, Josip Vidmar ; ;1967 ; ;
O pričanju i o onima koji pričaju ;Tatjana Korićanac, Ivo Andrić ; ;2011 ;8680619663;
The Bridge on the Drina ;Ivo Andrić ; ;1962 ; ;
Sabrana dela ;Ivo Andrić, Josip Vidmar ; ;1967 ; ;
Rasskazy i povesti ;Ivo Andrić, Natalija JAkovleva, Aleksandr Romanenko ; ;1984 ; ;
La signorina ;Ivo Andrić ; ;2008 ;8890280743;
Sabrana dela ;Ivo Andrić ; ;1967 ; ;
Na Drini ćuprija ;Ivo Andrić ; ;2011 ;8674461913;
Иво Андрић. [Essays by Vojislav Đurić, Dragan M. Jeremić, Branko Milanović and Others. Edited by V. Đurić.] ;Vojislav ĐURIĆ (Literary Historian.), Ivo Andrić ; ;1962 ; ;
Conversation with Goya ;Ivo Andrić ; ;2014 ;8673469538;
Nemirna Godina; Pripovetke ;Ivo Andrić ; ;1963 ; ;
Na Drini Ćuprija. The Bridge on the Drina. Translated ... by Lovett F. Edwards ;Ivo Andrić, Lovett Fielding Edwards ; ;1959 ; ;
The Woman from Sarajevo. [Gospodjica.] Transl. from the Serbo-Croatian.... ;Ivo Andrić ; ;1965 ; ;
Sabrana dela Ive Andrića: Znakovi ;Ivo Andrić ; ;1988 ; ;
To @chroniko tou Travnik ;Ivo Andrić ; ;1999 ;9600355800;
Sabrana dela ;Ivo Andrić ; ;1967 ; ;
Znakovi pored puta ;Ivo Andrić ; ;2007 ;8676593809;
Travnička Hronika. Bosnian Story. Translated by Kenneth Johnstone ;Ivo Andrić, Kenneth JOHNSTONE ; ;1958 ; ;
La chronique de Belgrade ;Ivo Andrić ; ;2023 ;2940701423;
Andrićev azbučnik ;Ivo Andrić ; ;1975 ; ;
Nemir od vijeka ;Ivo Andrić ; ;2007 ; ;
Omerpaša Latas ;Ivo Andrić ; ;2011 ;8661050480;
Die Brücke über die Drina ;Ivo Andrić ; ;2013 ;3423142359;
Otroci ;Ivo Andrić ; ;1963 ; ;
The Vizier's Elephant; Three Novellas. Translated from the Serbo-Croat by Drenka Willen ;Ivo Andrić ; ;1962 ; ;
Žeđ. (Pripovetke). ;Ivo Andrić ; ;1967 ; ;
Na Drini ćuprija ;Ivo Andrić ; ;2004 ;8673463203;
Jelena, ženska, ki je ni ;Ivo Andrić ; ;1963 ; ;
E un pod pe Drina... ;Ivo Andrić ; ;2018 ;973467465X;
Sabrana dela Ive Andrića: Kuća na osami, i druge pripovetke ;Ivo Andrić ; ;1976 ; ;
Žeđ ;Ivo Andrić, Petar Džadžić, Muharem Pervić ; ;1988 ;8601011446;
Die Brücke über die Drina ;Ivo Andrić, Ernst E. Jonas ; ;2003 ;3518399608;
Racconti di Bosnia ;Ivo Andrić ; ;1995 ;8879837966;
Eseji i kritike ;Ivo Andrić ; ;1976 ; ;
Dela: Travniška kronika ;Ivo Andrić ; ;1966 ; ;
Le opere ;Ivo Andrić ; ;1978 ; ;
Vezírek és konzulok ;Ivo Andrić, Petar Džadžić ; ;1962 ; ;
Die Brücke über die Drina ;Ivo Andrić ; ;1975 ; ;
Priče ;Ivo Andrić, Dragana Stamenković, Mia Lužajić ; ;2004 ;8676840296;
Gospodica ;Ivo Andrić ; ;1958 ; ;
Sabrana dela Ive Andrića ;Ivo Andrić, Vera Stojić ; ;1981 ; ;
Izabrana proza ;Ivo Andrić ; ;2005 ;9958382083;
Priča iz Japana ;Ivo Andrić ; ;2003 ; ;
Sabrana djela Ive Andrića ;Ivo Andrić, Vera Stojić ; ;1981 ; ;
Sobrani Dela Na Ivo Andriḱ ;Ivo Andrić ; ;1977 ; ;
Sabrana djela Ive Andrića ;Ivo Andrić ; ;1965 ; ;
Travnička hronika ;Ivo Andrić ; ;1963 ; ;
Priča o vezirovom slonu ;Ivo Andrić ; ;1963 ; ;
Deca ;Ivo Andrić ; ;199? ; ;
Sabrana djela Ive Andrića ;Ivo Andrić ; ;1976 ; ;
Sarajevske priče ;Ivo Andrić ; ;2011 ;8652105332;
In volo sopra il mare e altre storie di viaggio ;Ivo Andrić ; ;2017 ;8899368104;
Znakovi pored puta ;Ivo Andrić, Radovan Vučković ; ;2005 ;8677100989;
Sabrana djela Ivo Sabrana ;Ivo Andrić ; ;1963 ; ;
Sedam pripovedaka ;Ivo Andrić ; ;19?? ; ;
Fra' Petar e fra'Marco ;Ivo Andrić, Franjo Trograncić ; ;1974 ; ;
O srpskim piscima ;Ivo Andrić ; ;2014 ;8607020811;
Travnička hronika ;Ivo Andrić ; ;1967 ; ;
Sabrana djela ;Ivo Andrić ; ;1967 ; ;
Znaci kraj pătja ;Ivo Andrić ; ;2013 ;9549655687;
Buffet Titanic ;Ivo Andrić ; ;1995 ;3851291603;
Dela: Poti, Obrazi, Pokrajine ;Ivo Andrić ; ;1966 ; ;
Veletovci ;Ivo Andrić ; ;1949 ; ;
Lica ;Ivo Andrić ; ;1960 ; ;
Mostot na drina ;Ivo Andrić, Blagoja Korubin ; ;1962 ; ;
Izabranca dela ;Ivo Andrić ; ;1958 ; ;
Priča o vezirovom slonu ;Ivo Andrić ; ;1948 ; ;
Deca i druge pripovetke ;Ivo Andrić, Laslo Blašković (st.) ; ;1997 ;8682007568;
Sabrana dela ;Ivo Andrić, Erich Koš ; ;1983 ; ;
Sucedió en Bosnia ;Ivo Andrić ; ;1977 ; ;
Forvist til Bosnien ;Ivo Andrić ; ;1979 ;8741848438;
Sabrana djela ;Ivo Andrić ; ;1981 ; ;
Pisma iz Azije ;Zuko Džumhur, Ivo Andrić ; ;1983 ; ;
Dela: Most na Drini ;Ivo Andrić ; ;1966 ; ;
Gospodjica ;Ivo Andrić ; ;1967 ; ;
Mia matia sto Saragevo ;Ivo Andrić ; ;1993* ;9607472004;
Putopisi, impresije, zapisi ;Ivo Andrić, Krešimir Nemec ; ;2015 ;953060775X;
Dela: Most na Drini ;Ivo Andrić ; ;1966 ; ;
Das Fräulein (Gospodjica, dt.) Roman ;Ivo Andrić ; ;1962 ; ;
Razvoj duhovnog života u Bosni pod uticajem turske vladavine ;Ivo Andrić, Zoran Konstantinović ; ;1995 ;8670280051;
Il est un pont sur la Drina ;Ivo Andrić ; ;1956 ; ;
Die Männer von Veletovo ;Ivo Andrić ; ;1961 ; ;
Bosnian Story ;Ivo Andrić ; ;1961 ; ;
Most Na Žepi ;Ivo Andrić ; ;1971 ; ;
Ivo Andrić ;Ivo Andrić ; ;1961 ; ;
Ivo Andrić nad nepreglednom rekom života ;Ivo Andrić, Milorad R. Blečić ; ;1992 ; ;
Letters ;Ivo Andrić ; ;1984 ; ;
Conversation with Goya ;Ivo Andrić ;Menard Press ;1992 ; ;
The Days of the Consuls ;Ivo Andrić ; ;2000 ; ;
The Damned Yard and Other Stories ;Ivo Andrić ; ;2009 ; ;
Bosnian Chronicle, Or, The Days of the Consuls ;Ivo Andrić ; ;1996 ; ;
The Vizier's Elephant ;Ivo Andrić ;New York : Harcourt, Brace & World ;1962 ; ;
Staze lica predeli ;Ivo Andrić ; ;1965 ; ;
Izabrana dela: Travnička hronika ;Ivo Andrić ; ;1958 ; ;
Sabrana djela ;Ivo Andrić ; ;1967 ; ;
Sabrana djela: Staze. Lica. Predeli ;Ivo Andrić ; ;1963 ; ;
Rađanje fašizma ;Ivo Andrić ; ;1995 ; ;
Pod grabićem ;Ivo Andrić ; ;1952 ; ;
Na drini ćuprija ;Ivo Andrić ; ;1946 ; ;
Kuća na osami i druge pripovetke ;Ivo Andrić ; ;1984 ; ;
Sabrana dela Ive Andrića: Jelena, žena koje nema ;Ivo Andrić ; ;1977 ; ;
Novi raskazi ;Ivo Andrić ; ;1951 ; ;
Jelena, žena koje nema (pripovetke). ;Ivo Andrić ; ;1967 ; ;
Sabrana dela Ive Andrića: Staze, lica, predeli ;Ivo Andrić ; ;1977 ; ;
Staze ;Ivo Andrić ; ;1967 ; ;
Most na Žepi ;Ivo Andrić ; ;1967 ; ;
Travnik i djelo Ive Andrića, zavičajno i univerzalno ;Ivo Andrić, Univerzitet u Sarajevu ; ;1980 ; ;
Bolívar ;Ivo Andrić ; ;1982 ; ;
Žeđ ;Ivo Andrić ; ;1965 ; ;
Sabrana djela: Travnička hronika ;Ivo Andrić ; ;1963 ; ;
Priče o mitomanima ;Ivo Andrić ; ;1996 ; ;
Mostar ;Ivo Andrić, Zuko Džumhur ; ;1982 ; ;
Znakovi pored puta ;Ivo Andrić ; ;1997 ; ;
Nemiri ;Ivo Andrić ; ;1921 ; ;
Sabrana djela: Jelena, žena koje nema ;Ivo Andrić ; ;1963 ; ;
Nemirna godina ;Ivo Andrić ; ;1976 ; ;
Prokleta avlija ;Ivo Andrić ; ;1963 ; ;
Sabrana djela: Znakovi ;Ivo Andrić ; ;1963 ; ;
Omerpaša Latas ;Ivo Andrić ; ;1984 ; ;
Gospođica ;Ivo Andrić ; ;1984 ; ;
Otroci ;Ivo Andrić ; ;1963 ; ;
Izabrana dela: Gospodica ;Ivo Andrić ; ;1958 ; ;
Pripovetke ;Ivo Andrić ; ;1924 ; ;
Die Geliebte des Veli Pascha ;Ivo Andrić ; ;1962 ; ;
Die Frau auf dem Stein ;Ivo Andrić ; ;1967 ; ;
La soif ;Ivo Andrić ; ;1980 ; ;
Put Alije Đerzeleza ;Ivo Andrić ; ;1922 ; ;
Der verdammte Hof ;Ivo Andrić ; ;1965 ; ;
Titanic ;Ivo Andrić ;Les Editions du Rocher/Serpent à Plumes ;2001 ; ;
Prokli︠a︡tyĭ dvor ;Ivo Andrić ; ;1967 ; ;
Working Days ;John Steinbeck ;Penguin ;1990-12-01 ;9781440674525;
Steinbeck ;John Steinbeck ;Penguin ;1989-04-01 ;9781440673870;
The Short Novels of John Steinbeck ;John Steinbeck ;Penguin Classics ;2009 ;0143105779;
The Short Novels of John Steinbeck ;John Steinbeck ; ;1953 ; ;
Conversations with John Steinbeck ;John Steinbeck ;Univ. Press of Mississippi ;1988 ;0878053603;
The Other Side of Eden ;John Steinbeck, Nancy Steinbeck ; ;2001 ; ;
America and Americans ;John Steinbeck ;Viking ;1966-10-12 ; ;
Once There Was a War ;John Steinbeck ;Penguin ;2007-08-28 ;9780143104797;
Collected Works of John Steinbeck ;John Steinbeck ;Strelbytskyy Multimedia Publishing ;2021-05-28 ; ;
The Grapes of Wrath ;John Steinbeck ;Penguin Books ;2002-01-08 ;0142000663;
Complete Works of John Steinbeck (Illustrated) ;John Steinbeck ;Strelbytskyy Multimedia Publishing ;2021-02-01 ; ;
Journal of a Novel ;John Steinbeck ;New York : Viking Press ;1969 ; ;
The Red Pony ;John Steinbeck ;Penguin ;1994-10-01 ;9781101659823;
The Portable Steinbeck ;John Steinbeck ;Penguin ;2012-09-25 ;9781101616345;
Burning Bright ;John Steinbeck ;Penguin Classics ;2006-11-28 ; ;
A Russian Journal ;John Steinbeck ;Viking Adult ;1948 ; ;
The World of John Steinbeck ;John Steinbeck ; ;197? ; ;
John Steinbeck: The Grapes of Wrath & Other Writings 1936-1941 (LOA #86) ;John Steinbeck ; ;1996-09 ; ;
In Dubious Battle ;John Steinbeck ;National Geographic Books ;2006-05-30 ;9780143039631;
The Grapes of Wrath ;John Steinbeck ;Gardners Books ;1993 ; ;
The Pearl ;John Steinbeck ;Penguin Books ;1993-02-01 ;014017737X;
The Acts of King Arthur and His Noble Knights ;John Steinbeck ;National Geographic Books ;2008-12-30 ;9780143105459;
East of Eden ;John Steinbeck ;Penguin ;2002-02-05 ;9781440631320;
The John Steinbeck Collection ;John Steinbeck ;Bounty Books ;1989 ;0792450078;
John Steinbeck: Travels with Charley and Later Novels 1947-1962 (LOA #170) ;John Steinbeck, Robert DeMott ; ;2007-02-15 ; ;
Sweet Thursday ;John Steinbeck ;Clipper Audio ;2014-01-06 ;147125867X;
Zapata ;John Steinbeck ;Penguin Books ;1991 ;0140173226;
The Grapes of Wrath ;John Steinbeck ;Spark Notes ;2002 ;1586633600;
Selected Works of John Steinbeck (Of Mice and Men & East of Eden & Grapes of Wrath & The Pearl) ;John Steinbeck ; ;2022-11-28 ;9357009701;
Best of John Steinbeck (Of Mice and Men & East of Eden & Grapes of Wrath & The Pearl) ;John Steinbeck ; ;2022-11-28 ;935700971X;
John Steinbeck ;John Steinbeck, Random House ; ;1994-10-01 ;1851525785;
John Steinbeck on Writing ;John Steinbeck ;Steinbeck Society ;1988 ; ;
The Chrysanthemums ;John Steinbeck ;Penguin UK ;2014-03-06 ;9780718196479;
Bombs Away ;John Steinbeck ;National Geographic Books ;2009-07-08 ;9780143105916;
The Winter of Our Discontent ;John Steinbeck ;Penguin ;2008-08-26 ;9780143039488;
Sea of Cortez ;John Steinbeck, Edward F. Ricketts ;National Geographic Books ;2009-07-08 ;9780143117216;
Cup of Gold ;John Steinbeck ;Penguin ;2008-08-26 ;0143039458;
Of Mice and Men ;John Steinbeck ;Penguin Longman ;2008 ;1405855363;
The Portable Steinbeck /John Steinbeck ; Introduction : The Twenty-first-century Portable Steinbeck by Susan Shillinglaw ; Selected and Introduced by Pascal Covici, Jr ;John Steinbeck ; ;1980 ;014310697X;
The Winter of Our Discontent ;John Steinbeck ;Penguin ;2008-08-26 ;9780143039488;
The Log from the Sea of Cortez ;John Steinbeck ;Penguin ;1995-11-01 ;9781440674044;
John Steinbeck ;John Steinbeck ; ; ; ;
Cannery Row ;John Steinbeck ;Penguin ;2002-02-05 ;9781101659793;
The Forgotten Village ;John Steinbeck ;National Geographic Books ;2009-07-08 ;9780143117186;
John Steinbeck ;John Steinbeck ; ;1986 ; ;
Letters to Elizabeth ;John Steinbeck ; ;1978 ; ;
Selected Essays of John Steinbeck ;John Steinbeck ; ;1981 ; ;
“The” Short Novels of John Steinbeck ;John Steinbeck ; ;1961 ; ;
John Steinbeck: Novels and Stories 1932-1937 (LOA #72) ;John Steinbeck ;Library of America John Steinb ;1994-09 ; ;
John Steinbeck Short Novels ;John Steinbeck ; ;1937 ;2382264144;
Sea of Cortez ;John Steinbeck, Edward F. Ricketts ;National Geographic Books ;2009-07-08 ;9780143117216;
Cup of Gold ;John Steinbeck ;Penguin ;2008-08-26 ;0143039458;
The Novels of John Steinbeck. A First Critical Study ... Second Edition, with a Contemporary Epilogue ;Harry Thornton Moore, John Steinbeck ; ;1968 ; ;
John Steinbeck ;University of Texas. Humanities Research Center, John Steinbeck ; ;1963 ; ;
The Complete Works of John Steinbeck (Illustrated) ;John Steinbeck ; ;2020 ;3969440319;
Tortilla Flat ;John Steinbeck ;Penguin ;1997-06-01 ;9780140187403;
The Grapes of Wrath ;John Steinbeck ;Penguin ;2014-04-10 ;9780670016907;
Notes on John Steinbeck's The Pearl ;John Steinbeck ; ;1966 ; ;
Study guide The Grapes of Wrath by John Steinbeck (in-depth literary analysis and complete summary) ;John Steinbeck ; ;2020-08-26 ;2759307069;
Of Mice and Men: Teacher's Deluxe Edition ;John Steinbeck ;Penguin ;2013-01-03 ;9781101615218;
The Moon Is Down ;John Steinbeck ;Penguin Classics ;1995-11-01 ;0140187464;
Later Editions and Reissues of Novels by John Steinbeck, Not Catalogued Separately. ;John Steinbeck ; ;1967 ; ;
Cannery Row ;John Steinbeck ;Bentang Pustaka ;2017-10-05 ;9786022914075;
Viva Zapata! ;John Steinbeck ;Penguin Books ;1975-01-16 ; ;
The Way it Seems to John Steinbeck ;John Steinbeck ; ;1936 ; ;
The Long Valley ;John Steinbeck ;Penguin ;1995-08-01 ;0140187456;
Grapes of Wrath, by John Steinbeck ;Charlotte Alexander, John Steinbeck ; ;1965 ; ;
Cannery Row ;John Steinbeck, Jessica Hische ;National Geographic Books ;2014-04-23 ;9780143125211;
Of Men and Their Making ;John Steinbeck ;Allan Lane ;2002 ; ;
The Works of John Steinbeck ;John Steinbeck ; ;1984 ;0681319232;
To a God Unknown ;John Steinbeck ;Penguin ;1995-08-01 ;0140187510;
A Letter from John Steinbeck ;John Steinbeck, Roxburghe Club of San Francisco, Zamorano Club ; ;1974 ; ;
The Portable Steinbeck by John Steinbeck ;John Steinbeck ; ;1971 ; ;
The Short Reign of Pippin IV ;John Steinbeck ;Penguin ;2007-04-24 ;0143039466;
The Short Reign of Pippin IV ;John Steinbeck ;Penguin ;2007-04-24 ;0143039466;
John Steinbeck Complete Works ;John Steinbeck ; ;1937 ;2382264128;
The Portable Steinbeck by John Steinbeck ;John Steinbeck ; ;1971 ; ;
John Steinbeck Letters ;John Steinbeck, Katherine Groves ; ;1923 ; ;
The Vigilante ;John Steinbeck ;Penguin Classics ;2018-02 ;0241338956;
John Steinbeck ;John Steinbeck ; ;1958 ; ;
John Steinbeck's Of Mice and Men ;John Steinbeck, John Moore ;Hamilton, Ont. : Tree House Press ;1995 ;1896417841;
Travels with Charley ;John Steinbeck ;Penguin UK ;2001-03 ;9780141186108;
In Touch ;John Steinbeck ;Knopf Books for Young Readers ;1969 ; ;
John Steinbeck. A Concise Bibliography, 1930-65. Compiled by Tetsumaro Hayashi ... Introduction by Warren G. French ;Tetsumaro Hayashi, John Steinbeck ; ;1967 ; ;
John Steinbeck ;John Steinbeck ; ;1969 ; ;
The Forgotten Village ;John Steinbeck ; ;1941 ; ;
Of Mice and Men, John Steinbeck ;John Mahoney, Stewart Martin, John Steinbeck ; ;1987 ;085097772X;
Of Mice and Men, by John Steinbeck. With an Introduction by Joseph Henry Jackson ;John Steinbeck ; ; ; ;
Short Novels ;John Steinbeck ; ;1953 ; ;
Steinbeck, Of Mice and Men and Other Novels ;Coles Notes Staff, John Steinbeck ; ;1983 ;0774033363;
Gloser og kommentarer til John Steinbeck: The moon is down ;Ingeborg Jørgensen, John Steinbeck ; ;1970 ;8713001396;
Of Mice and Men Deluxe ;John Steinbeck ;Penguin ;2011-05-17 ;9781101531693;
The Log from the Sea of Cortez ;John Steinbeck ; ;1951 ;1440672164;
John Steinbeck Replies ;John Steinbeck, Leon Milton Birkhead ; ;1940 ; ;
A Letter from John Steinbeck to His Editor about "The Short Reign of Pippin IV" ;John Steinbeck, Pascal Covici, Viking Press ; ;1957 ; ;
John Steinbeck ;John Steinbeck ; ;1976 ;0434740241;
Birth of a Novel ;John Steinbeck ; ;1960 ; ;
The Harvest Gypsies ;John Steinbeck ; ;1988 ; ;
The Long Valley, by John Steinbeck ;John Steinbeck ; ; ; ;
Of Mice and Men ;John Steinbeck ;Penguin ;2009-07-08 ;9780143117209;
The Grapes of Wrath, by John Steinbeck. With Lithographs by Thomas Hart Benton [John Steinbeck and "the Grapes of Wrath", by Joseph Henry Jackson. Thomas Benton and "the Grapes of Wrath", by Thomas Craven.]. ;John Steinbeck ; ;1940 ; ;
The Wide World of John Steinbeck ;Peter Lisca, John Steinbeck ; ;1938 ; ;
The Short Novels of John Steinbeck ;John Steinbeck ; ;1976 ; ;
The Wayward Bus ;John Steinbeck ;National Geographic Books ;2006-03-28 ;9780142437872;
John Steinbeck's Foreword to "Between Pacific Tides." ;John Steinbeck ; ;1948 ; ;
The Red Pony ;John Steinbeck ; ;1959 ; ;
The John Steinbeck Collection ;John Steinbeck ; ;1984 ; ;
John Steinbeck Collection of Letters and Papers ;John Steinbeck ; ;1935 ; ;
The Winter of Our Discontent by John Steinbeck ;John Steinbeck ; ;1961 ;2382264152;
John Steinbeck Collection of Letters and Papers ;John Steinbeck ; ;1935 ; ;
THE FORGOTTEN VILLAGE. STORY BY JOHN STEINBECK. WITH 136 PHOTOGRAPHS FROM THE FILM OF THE SAME NAME. BY ROSA HARVAN KLINE AND ALEXANDER HACKENSMID. ;John Steinbeck ; ;1941 ; ;
The Pastures of Heayen, by John Steinbeck,... ;John Steinbeck ; ;1946 ; ;
The Pastures of Heaven ;John Steinbeck ;Penguin ;1995-04-01 ;9781440674174;
John Steinbeck and the Louisville Courier-Journal ;Robert Bartlett Harmon, John Steinbeck ; ;2001 ; ;
East of Eden ;John Steinbeck ; ;1953 ; ;
William Faulkner, Ernest Hemingway, John Steinbeck ;Bronisław Wiśniowski, William Faulkner, John Steinbeck ; ;1961 ; ;
